x,y,z,yaw,pitch,roll
1.4906,-1.1681,0.661,-2.23386,0.0202359,0.168707
2.3889,-12.769,0.0992805,-2.24087,0.0213394,0.160377
7.01942,-16.3095,3.04816,-2.25688,0.0265993,0.157576
7.3023,-19.6785,2.95445,-2.26863,0.0237723,0.157188
12.4194,-26.1659,5.19295,-2.27901,0.0235809,0.156638
7.99477,-29.3263,6.13766,-2.28967,0.0162787,0.151863
17.6144,-36.2548,6.38324,-2.29323,0.0245315,0.148188
20.808,-39.1749,4.68034,-2.29723,0.0313963,0.137258
17.2912,-44.0366,5.78229,-2.3009,0.0322247,0.125202
17.2208,-50.4173,4.81741,-2.30286,0.0359175,0.11519
19.6172,-51.0766,5.95304,-2.30697,0.0395542,0.110517
18.7349,-51.7273,5.5398,-2.3113,0.0401795,0.105354
15.4196,-51.9292,4.90896,-2.31379,0.036911,0.102798
13.2377,-48.6115,11.2422,-2.32187,0.0350857,0.100729
13.9085,-43.7817,13.2627,-2.32447,0.0362751,0.0990155
15.3074,-41.2062,16.8495,-2.32456,0.0376541,0.0980407
14.9857,-37.275,15.5586,-2.32069,0.0404532,0.0959558
